%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=210461, 2015/05/9 19:27:29.62)
19 229 1.575257e+01 9.332883e-01 3.173200e-04 3.173200e-04 3.754695e-04 3.897852e-04 4.018017e-04 4.161232e-04 4.382357e-04 4.685999e-04 4.707408e-04 1.249956e-03 7.977803e-03 1.498648e-02 1.751053e-02 5.717770e-02 9.706732e-02 3.824622e-01 4.960414e-01 6.513720e-01 9.332883e-01 
20 241 1.576817e+01 9.343193e-01 3.129808e-04 3.129808e-04 3.732576e-04 3.875097e-04 4.005452e-04 4.207014e-04 4.356521e-04 4.643017e-04 4.695637e-04 1.247887e-03 8.009713e-03 1.501549e-02 1.750116e-02 5.763594e-02 9.778089e-02 3.793618e-01 4.930787e-01 6.506381e-01 9.343193e-01 
21 253 1.555043e+01 9.530525e-01 3.078127e-04 3.078127e-04 3.738015e-04 3.828777e-04 4.010996e-04 4.167750e-04 4.365329e-04 4.616098e-04 4.707523e-04 1.258164e-03 7.941092e-03 1.503165e-02 1.738690e-02 5.786212e-02 9.754888e-02 3.756048e-01 4.914162e-01 6.468370e-01 9.530525e-01 
22 265 1.497862e+01 9.336206e-01 3.034134e-04 3.034134e-04 3.709970e-04 3.797493e-04 3.937195e-04 4.139575e-04 4.347478e-04 4.607825e-04 4.686322e-04 1.253927e-03 7.954258e-03 1.488670e-02 1.736214e-02 5.759855e-02 9.809558e-02 3.743179e-01 4.876363e-01 6.527748e-01 9.336206e-01 
23 277 1.455360e+01 9.372823e-01 2.995722e-04 2.995722e-04 3.659284e-04 3.819835e-04 3.915956e-04 4.158371e-04 4.345164e-04 4.617253e-04 4.715000e-04 1.251851e-03 8.039831e-03 1.470981e-02 1.729014e-02 5.736660e-02 9.786205e-02 3.727722e-01 4.860584e-01 6.507241e-01 9.372823e-01 
24 289 1.428885e+01 9.197481e-01 2.963086e-04 2.963086e-04 3.641467e-04 3.845957e-04 3.875401e-04 4.177231e-04 4.284830e-04 4.616910e-04 4.814579e-04 1.244488e-03 8.060608e-03 1.466457e-02 1.710001e-02 5.698870e-02 9.751512e-02 3.741329e-01 4.814553e-01 6.550961e-01 9.197481e-01 
25 301 1.386506e+01 9.116210e-01 2.909557e-04 2.909557e-04 3.560181e-04 3.821589e-04 3.893006e-04 4.161231e-04 4.365921e-04 4.600012e-04 4.835803e-04 1.243561e-03 8.032162e-03 1.459756e-02 1.694678e-02 5.677884e-02 9.789738e-02 3.677767e-01 4.817851e-01 6.434059e-01 9.116210e-01 
26 313 1.318661e+01 9.045038e-01 2.867272e-04 2.867272e-04 3.565583e-04 3.845819e-04 3.897162e-04 4.186413e-04 4.390815e-04 4.575211e-04 4.851882e-04 1.247783e-03 8.039774e-03 1.444831e-02 1.688625e-02 5.742601e-02 9.765548e-02 3.644828e-01 4.792297e-01 6.389703e-01 9.045038e-01 
27 325 1.277358e+01 8.964981e-01 2.842606e-04 2.842606e-04 3.555070e-04 3.800223e-04 3.971356e-04 4.200026e-04 4.377294e-04 4.600616e-04 4.809589e-04 1.263769e-03 7.925552e-03 1.430019e-02 1.680990e-02 5.769879e-02 9.714666e-02 3.620534e-01 4.761554e-01 6.373170e-01 8.964981e-01 
28 337 1.281357e+01 8.925633e-01 2.782757e-04 2.782757e-04 3.562501e-04 3.772334e-04 3.942932e-04 4.217279e-04 4.421434e-04 4.563260e-04 4.843722e-04 1.266707e-03 7.855166e-03 1.432675e-02 1.675820e-02 5.778091e-02 9.739827e-02 3.598591e-01 4.788957e-01 6.397249e-01 8.925633e-01 
29 349 1.364103e+01 8.914440e-01 2.739802e-04 2.739802e-04 3.549643e-04 3.768804e-04 3.936855e-04 4.200040e-04 4.572981e-04 4.596225e-04 4.837874e-04 1.279939e-03 7.793042e-03 1.420662e-02 1.666592e-02 5.763585e-02 9.749740e-02 3.579344e-01 4.804707e-01 6.531001e-01 8.914440e-01 
30 361 1.467950e+01 8.968931e-01 2.689344e-04 2.689344e-04 3.559883e-04 3.756762e-04 3.930890e-04 4.182841e-04 4.552249e-04 4.600106e-04 4.845382e-04 1.299393e-03 7.822205e-03 1.414892e-02 1.659617e-02 5.813500e-02 9.869039e-02 3.560826e-01 4.713833e-01 6.550330e-01 8.968931e-01 
31 373 1.524892e+01 8.957830e-01 2.666153e-04 2.666153e-04 3.541960e-04 3.714861e-04 3.940794e-04 4.190937e-04 4.528871e-04 4.594400e-04 4.890588e-04 1.298252e-03 7.790984e-03 1.405406e-02 1.650246e-02 5.757459e-02 1.002936e-01 3.548542e-01 4.678237e-01 6.578263e-01 8.957830e-01 
32 385 1.557607e+01 9.040059e-01 2.617976e-04 2.617976e-04 3.545293e-04 3.669586e-04 3.910973e-04 4.194930e-04 4.498079e-04 4.620944e-04 4.899736e-04 1.294078e-03 7.747511e-03 1.395689e-02 1.639032e-02 5.693978e-02 1.002556e-01 3.562285e-01 4.643497e-01 6.591850e-01 9.040059e-01 
33 397 1.580656e+01 9.008262e-01 2.594405e-04 2.594405e-04 3.519354e-04 3.664489e-04 3.880756e-04 4.349012e-04 4.535710e-04 4.639852e-04 4.902648e-04 1.284777e-03 7.714954e-03 1.392332e-02 1.631648e-02 5.701132e-02 1.000480e-01 3.564521e-01 4.631727e-01 6.586392e-01 9.008262e-01 
34 409 1.656656e+01 9.054949e-01 2.565133e-04 2.565133e-04 3.515046e-04 3.663583e-04 3.905429e-04 4.348072e-04 4.530621e-04 4.660860e-04 4.856430e-04 1.281690e-03 7.675036e-03 1.388380e-02 1.634082e-02 5.649881e-02 1.011950e-01 3.543393e-01 4.642419e-01 6.797913e-01 9.054949e-01 
35 421 1.663041e+01 9.062400e-01 2.524293e-04 2.524293e-04 3.516094e-04 3.649426e-04 3.895452e-04 4.352575e-04 4.530816e-04 4.637780e-04 4.880457e-04 1.280179e-03 7.633014e-03 1.380343e-02 1.627528e-02 5.633364e-02 1.014017e-01 3.503392e-01 4.624091e-01 6.768593e-01 9.062400e-01 
36 433 1.621145e+01 9.064387e-01 2.484005e-04 2.484005e-04 3.522095e-04 3.686334e-04 3.886087e-04 4.371190e-04 4.495887e-04 4.685358e-04 4.856937e-04 1.277025e-03 7.584685e-03 1.373956e-02 1.640090e-02 5.581031e-02 1.014841e-01 3.473959e-01 4.622622e-01 6.805255e-01 9.064387e-01 
37 445 1.618391e+01 9.202939e-01 2.451977e-04 2.451977e-04 3.472127e-04 3.662268e-04 3.879703e-04 4.355770e-04 4.482954e-04 4.724551e-04 4.855726e-04 1.270098e-03 7.571798e-03 1.370701e-02 1.636938e-02 5.591274e-02 1.014671e-01 3.458652e-01 4.633145e-01 6.776766e-01 9.202939e-01 
38 457 1.531601e+01 9.227266e-01 2.416019e-04 2.416019e-04 3.467760e-04 3.655198e-04 3.882396e-04 4.327607e-04 4.520227e-04 4.710102e-04 4.862342e-04 1.278575e-03 7.601378e-03 1.365608e-02 1.621304e-02 5.564041e-02 1.012031e-01 3.373267e-01 4.595674e-01 6.693846e-01 9.227266e-01 
39 469 1.451239e+01 9.115183e-01 2.380354e-04 2.380354e-04 3.448340e-04 3.652239e-04 3.880520e-04 4.300346e-04 4.513335e-04 4.669289e-04 4.837089e-04 1.286154e-03 7.550230e-03 1.339292e-02 1.611053e-02 5.570119e-02 1.015322e-01 3.369191e-01 4.571660e-01 6.671281e-01 9.115183e-01 
40 481 1.434026e+01 9.100898e-01 2.309904e-04 2.309904e-04 3.459422e-04 3.713116e-04 3.876899e-04 4.256514e-04 4.494658e-04 4.658851e-04 4.835088e-04 1.284682e-03 7.473860e-03 1.340435e-02 1.603363e-02 5.657093e-02 1.010351e-01 3.404783e-01 4.566737e-01 6.658298e-01 9.100898e-01 
41 493 1.420383e+01 9.127875e-01 2.267553e-04 2.267553e-04 3.437992e-04 3.682945e-04 3.867978e-04 4.293748e-04 4.481643e-04 4.615383e-04 4.856606e-04 1.285305e-03 7.344305e-03 1.332663e-02 1.610320e-02 5.695327e-02 9.999177e-02 3.431828e-01 4.567580e-01 6.605600e-01 9.127875e-01 
42 505 1.413788e+01 9.054250e-01 2.240755e-04 2.240755e-04 3.431597e-04 3.688451e-04 3.881455e-04 4.280859e-04 4.463713e-04 4.631073e-04 4.881360e-04 1.278480e-03 7.283970e-03 1.327751e-02 1.602215e-02 5.707719e-02 1.000023e-01 3.451759e-01 4.596917e-01 6.593715e-01 9.054250e-01 
43 517 1.369494e+01 9.044703e-01 2.218329e-04 2.218329e-04 3.431434e-04 3.678415e-04 3.912520e-04 4.250879e-04 4.427634e-04 4.632082e-04 4.871299e-04 1.271377e-03 7.303363e-03 1.313358e-02 1.600531e-02 5.700376e-02 1.009703e-01 3.449314e-01 4.632518e-01 6.639514e-01 9.044703e-01 
44 529 1.389136e+01 8.970795e-01 2.185664e-04 2.185664e-04 3.414687e-04 3.688124e-04 3.900075e-04 4.232817e-04 4.424564e-04 4.648212e-04 4.862192e-04 1.263170e-03 7.261750e-03 1.309691e-02 1.589871e-02 5.755184e-02 1.007517e-01 3.473606e-01 4.659579e-01 6.723176e-01 8.970795e-01 
45 541 1.446890e+01 8.924761e-01 2.137803e-04 2.137803e-04 3.383857e-04 3.721036e-04 3.885946e-04 4.224601e-04 4.417800e-04 4.647215e-04 4.866735e-04 1.271200e-03 7.246928e-03 1.341178e-02 1.574799e-02 5.749915e-02 1.015795e-01 3.459873e-01 4.638753e-01 6.771765e-01 8.924761e-01 
